ItemID,SalesDate,CostPrice, QtySales 
SKU_1899_112,7/1/2020,18.01," 16,360.50 "
SKU_1899_112,8/1/2020,18.01," 10,443.00 "
SKU_1899_112,9/1/2020,18.01," 14,933.50 "
SKU_1899_112,10/1/2020,18.01," 5,850.00 "
SKU_1899_112,11/1/2020,18.01," 4,145.50 "
SKU_1899_112,12/1/2020,18.01," 2,322.00 "
SKU_1899_112,1/1/2021,18.01," 4,561.00 "
SKU_1899_112,2/1/2021,18.01," 4,754.50 "
SKU_1899_112,3/1/2021,18.01," 10,546.00 "
SKU_1899_112,4/1/2021,18.01," 5,119.00 "
SKU_1899_112,5/1/2021,18.01," 9,185.00 "
SKU_1899_112,6/1/2021,18.01," 10,575.00 "
SKU_1899_112,7/1/2021,18.01," 9,116.00 "
SKU_1899_112,8/1/2021,18.01," 8,524.00 "
SKU_1899_112,9/1/2021,18.01," 9,549.50 "
SKU_1899_112,10/1/2021,18.01," 5,418.00 "
SKU_1899_112,11/1/2021,18.01," 6,219.00 "
SKU_1899_112,12/1/2021,18.01," 4,603.00 "
SKU_1899_112,1/1/2022,18.01," 4,841.00 "
SKU_1899_112,2/1/2022,18.01," 5,982.00 "
SKU_1899_112,3/1/2022,18.01," 10,829.50 "
SKU_1899_112,4/1/2022,18.01," 5,159.00 "
SKU_1899_112,5/1/2022,18.01," 7,342.00 "
SKU_1899_112,6/1/2022,18.01," 6,332.00 "
SKU_1899_112,7/1/2022,18.01," 6,118.00 "
SKU_1899_112,8/1/2022,18.01," 6,239.50 "
SKU_1899_112,9/1/2022,18.01," 4,449.00 "
SKU_1899_112,10/1/2022,18.01," 4,754.00 "
SKU_1899_112,11/1/2022,18.01," 1,692.00 "
SKU_1899_112,12/1/2022,18.01," 2,211.34 "
SKU_1899_112,1/1/2023,18.01," 4,189.00 "
SKU_1899_112,2/1/2023,18.01," 3,881.00 "
SKU_1899_112,3/1/2023,18.01," 6,644.00 "
SKU_1899_112,4/1/2023,18.01," 7,234.00 "
SKU_1899_112,5/1/2023,18.01," 5,642.00 "
SKU_1899_112,6/1/2023,18.01," 5,196.00 "
SKU_1899_112,7/1/2023,18.01," 6,277.00 "
SKU_1899_112,8/1/2023,18.01," 5,053.00 "
SKU_1899_112,9/1/2023,18.01," 4,293.00 "
SKU_1899_112,10/1/2023,18.01," 3,098.00 "
SKU_1899_112,11/1/2023,18.01," 4,264.00 "
SKU_1899_112,12/1/2023,18.01," 3,472.50 "
SKU_1899_112,1/1/2024,18.01," 6,442.00 "
SKU_1899_112,2/1/2024,18.01," 7,522.00 "
SKU_1899_112,3/1/2024,18.01," 6,064.00 "
SKU_1899_112,4/1/2024,18.01," 5,348.00 "
SKU_1899_112,5/1/2024,18.01," 7,242.00 "
SKU_1899_112,6/1/2024,18.01," 3,936.00 "
SKU_1899_112,7/1/2024,18.01," 6,859.42 "
SKU_1899_112,8/1/2024,18.01," 5,249.00 "
SKU_1899_112,9/1/2024,18.01," 5,424.00 "
SKU_1899_112,10/1/2024,18.01," 5,231.50 "
SKU_8291_112,1/1/2017,23.65, 748.00 
SKU_8291_112,2/1/2017,23.65, 514.00 
SKU_8291_112,3/1/2017,23.65, 885.00 
SKU_8291_112,4/1/2017,23.65, 793.00 
SKU_8291_112,5/1/2017,23.65," 1,336.00 "
SKU_8291_112,6/1/2017,23.65, 857.55 
SKU_8291_112,7/1/2017,23.65," 3,069.00 "
SKU_8291_112,8/1/2017,23.65," 1,187.00 "
SKU_8291_112,9/1/2017,23.65," 1,459.00 "
SKU_8291_112,10/1/2017,23.65, 921.00 
SKU_8291_112,11/1/2017,23.65, 896.45 
SKU_8291_112,12/1/2017,23.65, 100.00 
SKU_8291_112,1/1/2018,23.65, 261.00 
SKU_8291_112,2/1/2018,23.65, 863.00 
SKU_8291_112,3/1/2018,23.65, 383.00 
SKU_8291_112,4/1/2018,23.65, 927.00 
SKU_8291_112,5/1/2018,23.65," 1,094.00 "
